profit_inv,profit_sym,q_T_inv,q_T_sym
60.48866556065727,63.66422786356759,-1,-3
73.01713706048669,91.95090348771808,1,3
64.05644554105174,65.17611942898236,-7,-2
68.94357079882593,75.64129979054405,-1,-8
65.24682215945893,61.09047393802882,-6,-8
58.67073421760688,58.91762332130952,-3,-8
63.935295675433395,67.25369641934708,0,-11
65.84929188629957,56.82447249101722,1,-7
66.49526316334519,86.95500828952947,0,8
64.44789231344663,53.01388279257344,-2,2
57.96564970214206,64.54630805753533,-6,-3
65.99037688410174,82.56315932620862,0,-7
64.62944388765322,81.21845425360948,3,-17
63.85009482113904,50.32687702406474,3,12
62.36363897343824,73.96222173231178,-5,-2
70.4727460806019,81.89200897825276,-1,11
67.22893422681722,79.95585334412573,3,4
71.28448249422723,120.4640827978103,-3,-17
55.41500207545275,66.79107154071653,2,13
61.18953747842352,60.56314932299756,-1,-8
61.82795354848923,65.1143978591715,4,-7
61.6394615559268,69.19763897343853,-4,-5
54.61707388283844,46.35688775276856,-5,5
70.42479658694054,78.71901757122102,2,2
68.64545494233377,67.21773998611593,3,7
73.17959669732124,70.10788868067311,5,-2
67.44815638215852,58.31838583981562,-1,-14
65.89060480795212,73.32702781758778,1,2
68.45469145915237,61.39369924380617,-1,6
55.9794866461078,73.91607400242924,1,5
59.12205456116686,44.996608840241834,5,-1
69.9181494425884,71.62997154273904,-7,4
64.88410587581983,64.61822092399723,0,7
56.46656422200272,52.4200278543571,0,5
55.98402914500889,62.44296593059062,2,15
57.735077997949304,67.22552690607966,-1,4
66.40095237742827,80.16678319013823,-2,-4
52.9107630969217,52.94975684607539,4,13
59.43674906142155,53.81626320011469,4,-3
63.92381639094998,68.70146203826414,0,3
57.68994943337839,51.10349229502583,2,-8
59.17255034286282,54.38973554502826,-1,4
73.4605330005662,89.73969206108052,2,-9
57.87033299135581,59.30593095679049,-1,0
67.08420737083463,74.64115900023148,-4,-7
62.04031911221591,66.43872033846674,7,-3
63.16843811914424,62.507091877089124,-3,-6
57.48562049685049,58.580845958988164,1,-2
66.88675680930578,54.59528284776343,5,13
68.8461420206814,66.79347591740361,0,7
65.49734618177206,72.91833758880406,-2,0
62.11906775158303,82.70217630575826,-2,-15
62.439852535811596,68.67569690168443,0,2
74.0609744867896,90.72185463477717,1,14
71.15579130076924,49.0361066013125,-1,2
69.68229765480851,68.54446684209893,0,-13
74.68095633617872,67.3873308556199,-1,-10
55.66526566182722,51.77464264298078,4,-16
75.15053663333958,76.80084015370926,-1,-3
62.51985253581165,28.547988163518767,5,22
64.45034452837383,81.15673268379926,0,0
66.80746188190392,48.560312259440934,-1,-12
73.0705547839508,63.6384627269876,0,4
65.95201559184613,70.41649652972819,-7,-15
63.61895883466076,61.288234320800484,-1,-14
53.99753715244654,63.407150287672565,1,0
70.76561799836838,77.2508693590013,4,2
75.68995847191411,80.16678319013795,-5,-10
70.43544058085675,77.41026893185409,3,4
54.97362380364683,54.9296558333981,-5,-21
72.65100320974395,88.77791208068533,-1,4
66.51393903065178,54.86255172031008,0,11
59.81458269859064,79.11511212666619,-4,17
66.34661174752188,69.76572877507488,-2,-5
55.91469443997181,48.308617226823344,-4,-12
64.73769311255084,77.20712600580612,1,5
67.65449274059364,70.01021067763116,-2,-1
58.90741435638465,69.49605552584114,0,-5
67.45367923341081,79.60109776518868,5,-6
72.02765777600342,79.56754570864508,-1,0
60.49231862987864,94.72299158593069,-3,-15
73.41766519791061,84.70245788638363,1,-3
61.46648862548305,67.62402583821216,0,-1
64.12404383246309,59.25440068363082,-4,-16
67.79329236863683,81.45755361288957,2,-2
58.88787020408526,57.18461061323063,3,-4
59.816184779135966,57.909695611032646,2,-2
67.4755920998731,76.35859786838182,1,-5
72.76070299617038,68.12020277338638,5,17
66.81782744563066,74.91621479274204,2,2
57.65099828631884,45.05833041005235,2,16
63.77465910342465,78.51347026848543,2,11
60.95276011610218,84.13436808474728,0,9
60.10664014449931,20.407271071564537,0,-13
73.29724549507148,72.98246353530237,7,9
61.9930459681986,72.57377330651843,5,7
78.09346269021816,71.58622818954444,0,-1
60.5556607568229,56.10717441317922,3,10
57.78015194107064,63.54857164391001,-5,-4
62.58561719005394,68.60618841190933,5,-2
75.77239947580051,96.37092196430581,6,9
60.37761355728048,60.88733101198068,-7,-7
58.50579791436206,55.28441141233469,0,-1
64.32785995771877,75.48190021769119,-4,-8
64.41295931699804,70.93843860148131,3,0
64.49294447318357,68.09443763680679,-1,8
51.26367430998562,50.324472647377206,-3,-2
65.26553053885371,74.79277165311998,2,10
58.992669349790845,59.0230882443156,-3,-2
66.2076138832576,71.9206011751788,0,-1
53.565822522205536,50.697206442929314,1,8
63.40126647014159,78.70882627456956,-3,9
68.15834122157739,76.66720571743656,0,-6
60.12120490912223,64.55649935418694,1,6
61.38681756201095,65.70584842070076,-4,-2
61.78423197867846,67.67555611137163,2,5
66.74048531868675,67.35137442238852,8,6
62.96391740362762,60.84358765878517,2,8
56.727786859681316,69.43433395603051,2,8
68.62798307975793,78.60336135156314,0,5
60.67031862987869,57.44168818912556,0,9
61.23160282857668,77.31018655212506,4,-9
61.309432832972504,59.21844425039956,1,8
64.81609482113905,71.44240245661979,3,9
64.51361767239135,70.29305339010568,2,5
61.7865029869602,67.90686855068697,0,-3
62.001396688110844,66.13789940937704,-5,-9
66.6469193830028,64.13463966216216,0,-4
68.4868365209361,71.19551617737642,-2,-3
67.91349487632937,62.39143565743143,0,-3
70.92385286178819,65.18631072563409,-3,-3
66.69595766359988,64.21193507190117,0,-5
66.20368617298081,62.489113660473606,3,-2
68.58012071963435,67.24350512269541,-6,-8
57.77039091960174,66.53639834150907,-1,0
61.67536054324938,92.82279238503497,-1,16
68.01135029688295,71.12360331091423,0,-1
58.86997121676278,49.60957894622669,0,5
59.38000042205442,65.91677826671315,6,-2
56.3725424386181,62.26799251780966,4,3
67.50552723205726,59.83806432519526,4,-4
55.203052581791496,58.34174659970904,-2,-7
62.85273139314782,59.30593095679069,-1,8
52.13786608897442,56.336082475806506,-1,4
52.140318303901694,34.40558096237078,-2,11
68.05831201628581,95.29108138756715,2,7
64.39421761720122,77.32816476874046,1,3
66.42157773839585,72.21363518430508,3,12
64.58925210866454,49.86665652212196,-3,10
66.39910752921793,75.53583486753784,-3,0
66.42757773839588,93.35492575343983,4,14
67.03601559184605,74.85449322293096,0,9
62.71476705567204,87.40744187150801,-2,5
62.46254655372894,56.89398098079181,-3,-3
51.424231170363896,68.67569690168432,2,-8
64.67566438959625,67.44905242543098,4,11
56.03618114636244,60.427110510037664,0,-1
66.61915109598687,73.57391409683122,0,2
67.14092317213658,64.99874163951432,-7,0
63.57551617737647,65.93475648332901,-3,-8
63.613581045192404,75.27875729164299,-3,-1
59.43790634894674,55.911818407094785,-1,2
62.41286855068677,64.55649935418683,6,14
52.20968173189297,85.16806093160369,0,4
62.05985947538164,73.46844917382487,1,-2
72.14731778479472,73.61765745002674,0,-1
69.61511495112507,63.66422786356725,-2,-7
64.01810224304636,69.09996097039675,1,-10
64.6908073156444,60.9952003116739,4,5
69.75073550825857,84.21406787117348,5,16
69.2515415935342,73.90290453918817,1,3
70.14371901104585,55.59542363807623,-1,-12
68.8489921550634,57.59089646532692,4,-2
68.208062309051,82.26233839711841,-3,5
70.6510175712213,74.23727752482273,-5,-11
57.89526235503098,64.7854074168147,-4,0
63.27440197428251,65.47694035807262,-3,-8
78.82388981496457,95.77947140277695,2,8
63.56821761720113,67.96859012049788,-5,-6
70.87613871388496,67.35137442238897,3,6
70.04587843430664,49.69947002930394,-4,-19
74.6251226990095,109.16835251543989,2,23
65.94324137996068,64.3815259414054,0,0
68.87583107840419,58.866093048150105,-3,10
72.45232686010017,72.12374410122662,1,2
49.55008989771392,54.47962662810613,1,-2
71.30470993574056,83.03116674811571,0,-4
78.48761138477539,64.46122572783207,-3,-5
73.78175878868092,66.39738136195899,0,-10
64.87910010731088,68.60618841190956,0,6
73.55338991815773,64.03936603580769,-2,13
67.98700651654053,82.99521031488422,1,-4
48.57235033365242,63.4329154242521,1,1
64.28504596819863,60.2083937440608,2,8
72.70139007451803,128.74622124599955,-1,-26
61.87941104958806,78.2845622058577,0,-3
67.6068688766639,90.61638971177138,5,8
69.24127058525238,73.90828708246477,-1,18
60.77608376645844,63.1680509283932,5,7
67.46560694368782,73.33481473755182,-3,-17
62.108376558124746,50.33466394402808,-2,-9
69.68654736204317,99.96577306336246,1,-6
62.66733875986489,77.23048676569852,1,8
74.03232307096647,88.13252686931048,-4,-9
72.91944106319386,82.66862424921453,-4,-7
59.652560915206095,21.14014298933057,3,-12
68.12586359049237,92.10011176391924,-1,-10
61.13258269859061,80.13082675690669,0,-8
57.341193854441485,67.52634783517055,4,6
65.86691575022925,58.626993688870925,-1,-9
67.20008409243542,84.72043610299897,6,11
55.81934537345781,57.315840672816705,1,-1
61.59874575462504,69.09996097039652,5,18
56.754000422054446,54.47962662810585,-3,-8
61.31184099879374,77.70089856429303,4,-5
63.38588125876606,57.644831115173645,-3,4
63.63783075242691,66.00666934979091,-6,-4
64.21626481674335,79.53937619537822,1,3
74.82042819875483,79.17923807316424,-1,6
58.74580485393204,54.10929720924082,2,-8
62.530839827732564,65.38704927499481,-2,4
60.78813790557081,64.38931286136949,4,7
60.3548759725943,59.04885338089531,-4,-1
67.69449637336726,57.12529342010703,-2,-9
66.2489847331561,67.70372562463888,1,-6
65.26493753361362,79.6010977651897,-1,-20
70.52029071523862,63.929092359425795,-1,11
65.36920160232572,73.1394587314675,2,1
57.91931334370696,73.85435243261804,-2,-10
66.12983438520055,66.65205456116671,1,1
70.90070299617054,78.92216049726915,1,-5
63.231602828576854,64.75964228023463,-2,-13
67.81577645695455,64.2760610183991,3,14
56.799077515612,72.77691623256669,-2,-2
61.322738332717734,60.915500525247694,-2,-4
64.34688654493755,72.1237441012268,-4,-4
62.47721233102942,48.38053009328587,-1,-8
67.53800816993862,109.80354643016335,2,11
68.44671372487426,66.71377613097785,8,0
69.08728494672948,85.70019430000896,0,0
77.3254626902183,79.78866685130896,3,5
58.223012647796224,58.06909518388551,-3,-4
63.55827917822057,64.12444836551003,1,11
70.57123807316427,79.61128906184041,-1,1
66.1686160189929,53.56937692087109,-2,-3
71.06780235544971,67.78582978775262,-4,5
70.44811693050042,76.34061965176642,-1,-5
75.93719862150617,77.40248201188973,2,-1
60.78005456116682,63.813436139768726,-4,-2
60.102618843452206,75.26077907502724,-1,3
58.2206582951103,88.50045191148826,-2,-3
59.35400405482778,60.07475930778719,-5,-11
67.00787795196948,62.48911366047423,0,-8
63.66582333051991,77.31259092881214,1,-7
61.218803200533785,52.216884928309355,-5,-14
66.64457245222434,83.1366316711219,-4,-16
68.10962130516486,71.21349439399194,-4,-5
57.938521137571115,48.52195144952316,1,-12
62.63268040447177,71.31895931699853,0,-7
57.95977943777402,74.93419300935761,-1,6
69.65478601459745,74.48416380406559,-1,-1
56.37795685528562,55.25864627575538,-2,-12
66.7521058758199,65.64412685088985,-1,-5
69.45845659573217,78.83226941419161,-3,-11
61.76268419360545,68.63974046845345,1,4
55.96550842949226,55.698484184395284,1,-2
57.651953066151634,46.156149203407494,2,-12
65.88624303335905,86.46123573104228,-3,-12
70.46709728285168,58.812158398303836,-2,10
70.25166108279984,57.35420148273488,-3,-3
61.966466842098555,66.56456785477644,-1,-11
73.02182413883406,80.09727470036296,-3,-4
58.28116513148706,47.09754659049844,3,5
63.198716549333255,23.98654833069213,2,-8
65.90512931260251,94.03386302135846,0,15
63.467508755469225,89.7396920610804,5,23
58.3989839248417,66.89115392044604,2,2
63.90480368287106,67.36694826231741,0,-2
62.42673833271783,62.12657116157243,-3,3
68.26711858389889,68.63195354848932,0,-1
74.4837449095412,89.17400663613125,-1,7
58.76252855947837,69.77111131835227,-4,-14
62.82402204907862,58.246472973354116,-3,-4
48.484827482400306,53.8420283366944,-3,-4
59.29061884345231,65.53625755119646,-1,5
68.2441276592042,70.61185253581175,3,-5
64.3583588898511,63.620484510371966,-1,-8
63.83476753800943,68.47255397563612,-1,-5
61.50883240582539,46.737408468284684,-3,-12
62.74396790996627,71.30098110038239,-4,1
61.94486855068702,76.70075777398029,1,6
57.051208215918905,59.41139587979637,-7,-12
63.79308211306005,66.90672776037457,1,-6
66.73242093320792,74.63337208026742,-1,0
66.12767181150355,46.00453655051854,1,9
64.4773026150032,68.8350964745372,3,2
63.947888680673316,64.67994249380877,0,-6
65.27890138875216,58.801967101652,1,-1
58.09844884784792,74.57943743042028,2,-2
62.55766769639274,60.97722209505832,7,11
71.98032307096649,76.81881837032529,0,13
63.63467298256455,59.4395653930635,-5,-11
55.563309228596154,56.82985503429376,-2,-2
63.32977976375099,61.78200687928688,-3,-18
66.0679720250771,66.62628942458696,0,-14
68.02571901104568,67.41309599220017,-3,-15
62.59245990252859,58.87387996811435,-1,-7
57.32741435638451,66.64186326451528,-2,-4
66.71368617298072,84.46335852710428,2,4
68.10734287497576,74.16536465836009,-6,-5
62.566431179574295,86.37134464796463,-1,14
68.19592151873832,101.86597226425812,-4,5
76.08109397605512,77.50794693489598,-5,-5
70.20115472876029,76.31485451518677,-3,-6
60.13172199186545,83.30381816393856,0,7
67.79584922901495,53.48189021448093,1,-7
66.40674244782855,73.35279295416723,5,3
65.51888702727493,111.07633863629894,1,-17
52.651569182197306,58.3417465997087,-2,-9
72.5451083375325,59.91776411162232,2,-5
64.14071703167055,74.08566487193366,0,12
67.70089808195569,81.23643247022574,1,11
56.65104185308775,65.66210506750531,1,-11
67.78866273619812,63.47906315413462,3,0
58.199084937519274,75.4561350811116,4,3
65.26062295856309,76.25072856868917,-4,7
54.822730584833494,48.75085951215124,0,-6
53.276567528799035,54.08112769597375,4,5
65.57084346050596,77.21491292577048,-2,-12
65.17570795636517,110.5466096445823,0,-13
66.14792151873829,64.60024270738194,2,3
63.84123774718728,62.833677942759266,5,3
65.27657245222429,69.77111131835181,2,4
65.36137853749989,69.00468734404211,1,5
57.635964277192784,62.46873106717061,3,2
61.515096474537444,60.62246651612077,3,-9
63.11762461196105,73.34260165751607,5,8
64.53862295856291,95.72313237624235,0,20
54.721551513923714,57.652618035138005,2,-1
73.89726727845591,82.70458068244608,0,-3
55.391251300350135,60.5247885130795,1,-2
60.852510408867374,63.47906315413479,-3,-12
67.81513294537592,69.85321548146544,-8,-13
66.63240987852714,82.596711382752,-4,1
67.23226529908082,72.17527437438612,0,2
60.528785206283146,60.70216630254777,0,6
61.48151948417285,75.85222963655633,-4,4
61.23232605178593,55.23826368245204,0,8
68.74870630296675,69.9844455410514,-4,-2
64.499881258766,71.0283296845594,0,0
60.90437655812457,59.13874446397318,4,3
69.34089066004843,75.88039914982355,0,3
69.48403358609659,58.96377105119166,2,-5
78.33668153876286,78.70344373129295,0,0
55.4680147835316,59.110574950706166,1,4
64.68758104519239,56.79630297774975,1,-10
49.361655833397776,51.39412192746477,-1,-9
62.95983075242697,71.54786737962604,-3,-13
63.969374904726465,69.96646732443583,-5,-10
62.6966262653595,56.354060692422536,-2,-6
55.09960944216971,68.77097052803947,1,13
71.31400486314229,70.69155232223738,2,16
62.21818147233948,63.50482829071484,1,3
66.91211329772699,89.64201405803806,-3,8
63.3752377471874,59.323909173405866,1,2
65.26114367407962,73.7411005896478,2,1
63.3496607568228,67.35916134235354,-2,1
73.50286605220492,64.16819171870588,1,-8
64.33774410122678,67.82716876426008,-1,-2
61.94157362328491,69.2773387598645,-3,8
62.4369662565681,74.5279071572608,2,0
61.07685418920977,77.91182841030542,2,3
69.42197614018801,72.9980373752303,0,-9
67.04277165312021,64.02677036246848,-1,-6
61.145602828576926,71.64554538266805,2,4
71.19060892306271,69.1718738368586,2,10
59.65166358128198,69.88676753800928,2,9
74.11487678090862,72.37841730043397,4,-5
65.05685088241339,55.549275908193366,1,1
52.59816630254801,63.7517145699577,3,-1
58.97516134235326,63.229772498203886,-1,-2
62.60659012049777,84.27578944098468,1,15
67.42067758001258,52.16535465515017,-3,-18
61.88649604738998,55.54148898822939,-2,-10
62.65423940058555,63.68220608018311,0,-3
59.66179097479221,62.424987713975554,4,5
67.274720664444,80.4676041192285,3,-2
68.80829765480854,77.39229071523857,0,6
64.02274575462502,75.01389279578387,1,5
60.81716134235327,40.5688034436896,3,10
